"Timestamp","Gender: ","What is your current occupation?","What are your hobbies? (You may select more than 1)","Do you enjoy socializing with large groups of people?","Do you enjoy challenges?","How creative of a person do you think you are?","How logical of a person do you think you are?","Would you prefer to engage your brain more than your body?","Are you a curious person?","Are you a perfectionist?","Are you a trusting person?","Do you have lot of patience?","Do you organize your schedule well?","Do you like to sit in front of a computer for long hours?","Do you enjoy making others happy?","Can you understand others' perspectives and feelings?","How confident are you in your own abilities?","What boosts your confidence ? ","I prefer to spend my money on....","How do you organize your thoughts? Please pick whichever is closest.","Choose a pet which you prefer to keep.","What is your favorite time of the day?","Would you rather visit the future or the past?","What do you worry more about the most?","When you retire, you'd like to live...","What is your favorite color?","What is your learning style? (Pick one that benefit you the most)"
"2021/04/21 5:30:42 PM GMT+8","Female","University student","Reading","1","1","5","1","5","4","1","5","5","1","1","1","1","1","When you accomplish a project","The latest technology","Jotting it down on a scrap of paper","Cat","Morning","Neither. I prefer the present","Money","Exactly where I live now","Purple","By attending online courses"
"2021/04/21 5:31:10 PM GMT+8","Male","University student","Badminton;Jogging;Playing computer games","3","3","3","3","4","3","3","4","3","3","4","3","4","4","When someone acknowledges you","Food","I make a chart or graph","Dog","Night","Neither. I prefer the present","Your family and friends","In a small town","Black","By attending online courses"
"2021/04/21 5:34:48 PM GMT+8","Female","University student","Swimming;Jogging;Dancing","5","2","3","5","4","2","5","2","2","5","5","3","4","5","By earning a lot of money","Food","I write it down in my calendar","Cat","Evening","Neither. I prefer the present","Your future","Traveling the world","Black","By doing assignments"
"2021/04/21 5:38:29 PM GMT+8","Female","University student","Playing computer games;Cooking;Painting;Puzzles","2","4","4","3","4","5","5","3","3","2","1","3","2","2","When someone acknowledges you","Food","Any combination of these","Cat","Morning","Neither. I prefer the present","The state of the world","Exactly where I live now","Black","By reading a physical book"
"2021/04/21 5:42:10 PM GMT+8","Female","University student","Playing computer games;Reading","2","3","2","4","4","3","4","5","5","4","5","5","3","1","When you accomplish a project","Food","Any combination of these","Rabbit","Night","Neither. I prefer the present","Your future","Exactly where I live now","Black","By attending online courses"
"2021/04/21 5:51:02 PM GMT+8","Male","University student","Swimming;Jogging;Playing computer games","3","4","3","4","3","3","4","3","4","3","3","3","4","4","When you accomplish a project","The latest technology","Any combination of these","I'm not a pet person","Morning","Neither. I prefer the present","Your future","In a small town","Black","By doing assignments"
"2021/04/21 5:54:58 PM GMT+8","Female","University student","Jogging;Playing board games;Cooking;Reading;Singing","3","4","4","4","3","4","5","2","3","3","3","4","4","4","By leading others to success","The latest technology","Any combination of these","I'm not a pet person","Night","The future","Money","In a small town","Blue","By doing tutorial/lab questions"
"2021/04/21 6:03:00 PM GMT+8","Female","University student","Reading;Painting","4","3","3","3","4","4","4","2","4","3","3","3","4","4","When you accomplish a project","Activities with friends","Any combination of these","Cat","Night","Neither. I prefer the present","How others see me","Traveling the world","Blue","By attending lectures"
"2021/04/21 6:23:32 PM GMT+8","Male","University student","Playing computer games;Playing board games;Cooking;Reading","4","3","4","5","4","4","3","4","2","5","1","5","5","4","When you accomplish a project","Home Improvements","Any combination of these","Dog","Night","The past","Your future","In a small town","Blue","By doing tutorial/lab questions"
"2021/04/21 6:25:28 PM GMT+8","Male","University student","Badminton;Jogging;Dancing;Fishing;Gardening;Playing computer games;Playing board games;Painting;Collecting;Puzzles","3","4","1","4","4","4","4","1","3","2","2","4","2","3","When you accomplish a project","Activities with friends","I talk to myself out loud","I'm not a pet person","Evening","The past","Money","Traveling the world","Black","By attending online courses"
"2021/04/21 6:26:57 PM GMT+8","Female","University student","Reading;Singing","4","3","3","4","4","4","4","3","3","3","2","4","3","3","By leading others to success","Food","I write it down in my calendar","I'm not a pet person","Night","The past","Your family and friends","Traveling the world","Blue","By reading a physical book"
"2021/04/21 6:27:31 PM GMT+8","Female","University student","Badminton;Swimming;Playing computer games;Reading;Writing;Painting","4","4","4","3","4","4","3","5","4","4","4","5","4","4","When you accomplish a project","Food","Jotting it down on a scrap of paper","Dog","Morning","The past","Your future","In a small town","Blue","By doing assignments"
"2021/04/21 6:27:39 PM GMT+8","Female","University student","Cooking;Reading;Singing","3","3","3","4","4","4","4","4","3","4","2","4","4","3","When someone acknowledges you","Home Improvements","Jotting it down on a scrap of paper","Cat","Night","Neither. I prefer the present","Your family and friends","In a small town","Blue","By reading a physical book"
"2021/04/21 6:38:47 PM GMT+8","Female","University student","Cooking;Reading;Painting","4","4","3","4","4","3","2","3","3","4","2","3","4","4","When someone acknowledges you","The latest fashion","I write it down in my calendar","I'm not a pet person","Morning","The past","Your future","Overseas","Yellow","By reading an e-Book"
"2021/04/21 6:40:24 PM GMT+8","Female","University student","Reading;Watching anime, drama, movies, youtube","4","3","3","4","3","5","3","3","4","4","4","5","4","3","By leading others to success","Home Improvements","I write it down in my calendar","Cat","Night","Neither. I prefer the present","Your future","Exactly where I live now","Red","By attending online courses"
"2021/04/21 6:42:29 PM GMT+8","Female","University student","Jogging;Cooking;Reading;Singing","2","1","1","2","3","3","2","3","3","3","2","4","3","2","When someone acknowledges you","Food","Any combination of these","Dog","Night","The future","Your future","Traveling the world","Blue","By attending online courses"
"2021/04/21 6:49:02 PM GMT+8","Male","University student","Badminton;Jogging;Playing computer games","3","5","4","4","3","4","4","4","3","2","4","4","4","3","When someone acknowledges you","The latest technology","I talk to myself out loud","Dog","Evening","Neither. I prefer the present","Your future","Traveling the world","Blue","By reading a physical book"
"2021/04/21 6:51:51 PM GMT+8","Male","University student","Badminton;Swimming;Jogging;Singing","3","3","2","5","4","4","4","2","2","3","3","4","4","2","When you accomplish a project","Activities with friends","Any combination of these","Dog","Morning","The future","Your family and friends","Traveling the world","Black","By reading a physical book"
"2021/04/21 6:53:51 PM GMT+8","Male","Unemployed","Playing computer games;Watching movies","2","3","2","4","4","4","3","2","1","1","4","2","2","1","By earning a lot of money","The latest technology","Jotting it down on a scrap of paper","I'm not a pet person","Morning","The future","Money","Overseas","Black","By doing assignments"
"2021/04/21 6:55:03 PM GMT+8","Female","University student","Playing board games;Cooking;Reading;Puzzles;Baking","3","3","2","4","3","3","4","4","3","3","3","4","3","4","When someone acknowledges you","Food","Any combination of these","Dog","Morning","Neither. I prefer the present","Your future","In a small town","Yellow","By doing tutorial/lab questions"
"2021/04/21 6:55:15 PM GMT+8","Male","University student","Jogging;Playing computer games;Reading;Puzzles","4","4","3","4","3","4","3","4","5","3","3","5","4","3","When someone acknowledges you","Activities with friends","Any combination of these","I'm not a pet person","Morning","The past","Your future","In a small town","Blue","By reading a physical book"
"2021/04/21 7:00:10 PM GMT+8","Male","University student","Football;Playing board games","5","4","3","4","4","4","4","4","2","3","3","4","4","2","By leading others to success","Activities with friends","Jotting it down on a scrap of paper","I'm not a pet person","Night","The past","Your future","Traveling the world","Blue","By reading a physical book"
"2021/04/21 7:05:39 PM GMT+8","Female","University student","Badminton;Jogging;Playing computer games;Playing board games;Writing;Collecting;Puzzles","2","4","4","4","4","4","4","4","4","4","4","5","4","4","By earning a lot of money","Food","I make a chart or graph","Dog","Evening","The past","Your future","Exactly where I live now","Blue","By attending online courses"
"2021/04/21 7:21:15 PM GMT+8","Male","University student","Volleyball ","4","5","4","3","5","5","3","3","3","2","2","5","5","4","When someone acknowledges you","The latest technology","Any combination of these","Dog","Morning","Neither. I prefer the present","Your family and friends","Overseas","Blue","By doing tutorial/lab questions"
"2021/04/21 7:21:44 PM GMT+8","Female","University student","Badminton;Swimming;Jogging;Dancing;Gardening;Cooking;Reading;Writing;Painting;Collecting;Puzzles;Singing","4","4","3","4","4","4","4","3","4","4","3","4","4","4","When someone acknowledges you","Food","Any combination of these","Dog","Morning","Neither. I prefer the present","Money","Traveling the world","Blue","By doing tutorial/lab questions"
"2021/04/21 7:34:46 PM GMT+8","Male","University student","none","1","3","4","4","4","4","4","3","2","1","4","4","3","2","When someone acknowledges you","Food","Any combination of these","I'm not a pet person","Night","The future","Your future","Cabin in the woods","Green","By attending lectures"
"2021/04/21 7:36:04 PM GMT+8","Male","University student","Playing computer games","5","5","4","3","4","3","2","5","5","4","3","4","4","4","When someone acknowledges you","The latest technology","Jotting it down on a scrap of paper","Cat","Morning","The future","Your family and friends","In a small town","Black","By attending online courses"
"2021/04/21 7:49:59 PM GMT+8","Male","University student","Jogging;Dancing;Playing computer games;Cooking","4","5","3","4","4","5","3","3","4","2","4","3","3","4","By earning a lot of money","Home Improvements","Any combination of these","Cat","Morning","The past","Your future","Overseas","Green","By reading a physical book"
"2021/04/21 7:53:47 PM GMT+8","Male","University student","Badminton;Playing computer games","3","3","2","4","4","4","4","4","4","4","2","5","4","4","When someone acknowledges you","Home Improvements","Any combination of these","Cat","Morning","The future","Money","Traveling the world","Purple","By doing assignments"
"2021/04/21 7:58:16 PM GMT+8","Female","University student","Singing","5","4","2","4","4","2","2","4","5","4","1","4","4","4","When someone acknowledges you","Activities with friends","Jotting it down on a scrap of paper","Dog","Night","The past","The state of the world","Traveling the world","Purple","By attending online courses"
"2021/04/21 8:12:14 PM GMT+8","Male","University student","Jogging;Fishing;Playing board games;Cooking","4","4","4","3","4","2","3","3","3","4","2","5","2","3","By earning a lot of money","Home Improvements","I talk to myself out loud","Horse","Night","The future","Your future","Traveling the world","Blue","By attending online courses"
"2021/04/21 8:44:28 PM GMT+8","Male","University student","Football;Playing computer games;Cooking","3","2","3","4","2","3","4","3","2","2","4","3","3","4","By earning a lot of money","Food","I write it down in my calendar","Dog","Morning","Neither. I prefer the present","Your family and friends","In a small town","Black","By attending lectures"
"2021/04/21 8:49:04 PM GMT+8","Male","University student","Playing computer games;Reading","2","4","4","5","5","5","1","3","4","2","5","2","2","3","When you accomplish a project","Food","Jotting it down on a scrap of paper","Cat","Night","Neither. I prefer the present","How others see me","Traveling the world","Black","By attending online courses"
"2021/04/21 9:01:26 PM GMT+8","Female","University student","Singing","2","3","3","4","4","4","3","2","4","2","4","5","3","2","By leading others to success","Home Improvements","Any combination of these","Cat","Night","The future","Your future","Exactly where I live now","Green","By doing tutorial/lab questions"
"2021/04/21 9:26:29 PM GMT+8","Female","University student","Badminton;Playing computer games;Playing board games;Cooking;Reading;Painting;Puzzles","3","3","4","4","5","3","4","3","3","4","3","3","3","3","When someone acknowledges you","Food","Jotting it down on a scrap of paper","I'm not a pet person","Night","The future","Your future","Traveling the world","Blue","By doing tutorial/lab questions"
"2021/04/21 9:30:37 PM GMT+8","Female","University student","Cooking;Reading;Painting","3","3","4","4","4","4","3","4","4","3","4","3","3","4","When you accomplish a project","Activities with friends","Jotting it down on a scrap of paper","Dog","Morning","Neither. I prefer the present","Your future","Traveling the world","Red","By doing tutorial/lab questions"
"2021/04/21 9:35:32 PM GMT+8","Female","University student","Playing computer games;Drawing","1","3","3","1","2","4","1","3","2","1","2","3","2","2","Get the most/ special attention among the members","Food","Jotting it down on a scrap of paper","Cat","Night","The future","Your future","Traveling the world","Black","By doing tutorial/lab questions"
"2021/04/21 10:22:06 PM GMT+8","Female","University student","Jogging;Playing computer games;Playing board games;Reading;Writing;Singing","3","4","2","4","4","4","4","3","4","4","4","5","3","3","When someone acknowledges you","Activities with friends","Jotting it down on a scrap of paper","I'm not a pet person","Morning","The future","Your future","Exactly where I live now","Black","By reading a physical book"
"2021/04/22 10:13:24 AM GMT+8","Female","University student","Swimming;Jogging;Dancing","5","2","3","5","4","2","5","2","2","5","5","3","4","5","By earning a lot of money","Food","I write it down in my calendar","Cat","Evening","Neither. I prefer the present","Your future","Traveling the world","Black","By doing assignments"
"2021/04/22 12:22:33 PM GMT+8","Female","University student","Badminton;Gardening;Playing computer games;Reading;Writing;Collecting","3","5","4","2","4","5","5","5","5","5","3","5","4","1","When someone acknowledges you","Activities with friends","Any combination of these","Dog","Night","Neither. I prefer the present","The state of the world","Cabin in the woods","Yellow","By doing assignments"
"2021/04/22 1:14:04 PM GMT+8","Male","University student","Badminton;Jogging;Playing board games;Reading;Singing","4","5","5","5","4","4","5","4","4","3","3","5","4","5","When someone acknowledges you","Activities with friends","I talk to myself out loud","Bird","Night","The future","The state of the world","Traveling the world","Blue","By doing tutorial/lab questions"
"2021/04/22 1:55:53 PM GMT+8","Female","University student","Swimming;Jogging;sleeping","3","4","3","3","3","5","3","2","3","3","3","5","4","2","When you accomplish a project","Food","Jotting it down on a scrap of paper","Dog","Night","The future","Your future","Exactly where I live now","Blue","By doing tutorial/lab questions"
"2021/04/22 3:09:21 PM GMT+8","Female","Employed","sleep","3","3","2","3","2","4","3","5","4","3","4","5","4","4","When someone acknowledges you","Food","Any combination of these","Cat","Night","Neither. I prefer the present","Your future","Traveling the world","Yellow","By attending lectures"
"2021/04/22 3:39:15 PM GMT+8","Female","University student","Reading;Singing","2","1","2","3","3","5","4","1","3","1","1","5","5","1","When someone acknowledges you","Activities with friends","Jotting it down on a scrap of paper","Cat","Night","The past","Your future","In a small town","Purple","By doing tutorial/lab questions"
"2021/04/22 3:43:10 PM GMT+8","Male","University student","Playing computer games;youtube/ netflix","2","4","2","4","3","5","4","3","4","2","4","5","4","4","When someone acknowledges you","Activities with friends","I talk to myself out loud","I'm not a pet person","Night","Neither. I prefer the present","Your future","In a small town","Green","By doing assignments"
"2021/04/22 4:55:41 PM GMT+8","Female","University student","Badminton;Swimming;Cooking;Writing;Singing","4","3","3","4","4","4","5","4","4","4","2","4","3","4","By leading others to success","The latest fashion","Any combination of these","I'm not a pet person","Night","Neither. I prefer the present","How others see me","Traveling the world","Black","By doing tutorial/lab questions"
"2021/04/22 8:59:32 PM GMT+8","Male","University student","Football;Badminton;Swimming;Playing computer games;Playing board games;Cooking;Singing","3","4","5","5","4","5","5","2","3","4","5","5","5","4","When someone acknowledges you","The latest technology","I write it down in my calendar","Cat","Night","Neither. I prefer the present","How others see me","In a small town","Blue","By reading an e-Book"
"2021/04/22 9:12:57 PM GMT+8","Female","Unemployed","Cooking;Reading;Writing;Puzzles;Singing","2","5","4","4","5","5","4","4","4","4","4","5","5","4","By leading others to success","Food","I talk to myself out loud","Cat","Night","The past","Your future","In a small town","Black","By attending lectures"
"2021/04/22 11:14:20 PM GMT+8","Male","University student","Football;Badminton;Swimming;Jogging;Fishing;Playing computer games;Playing board games;Cooking","4","4","3","4","4","4","4","4","4","4","3","4","4","4","When you accomplish a project","The latest technology","Any combination of these","I'm not a pet person","Night","Neither. I prefer the present","Your family and friends","Traveling the world","Blue","By doing assignments"
"2021/04/23 1:24:05 AM GMT+8","Male","University student","Dancing;Reading;Collecting;Singing","5","1","2","5","5","3","4","3","3","1","1","5","4","2","When someone acknowledges you","Activities with friends","Any combination of these","Dog","Afternoon","Neither. I prefer the present","How others see me","Overseas","White","By reading a physical book"
"2021/04/23 1:47:43 AM GMT+8","Female","University student","Swimming;Dancing;Painting;Puzzles","2","5","3","2","2","5","2","3","2","4","5","5","5","1","When someone acknowledges you","Food","Jotting it down on a scrap of paper","I'm not a pet person","Night","The future","Your future","In a small town","Green","By attending lectures"
"2021/04/23 2:04:52 AM GMT+8","Male","University student","Volleyball ","4","5","4","3","5","5","3","3","3","2","2","5","5","4","When someone acknowledges you","The latest technology","Any combination of these","Dog","Morning","Neither. I prefer the present","Your family and friends","Overseas","Blue","By doing tutorial/lab questions"
"2021/04/23 7:40:56 AM GMT+8","Male","University student","Reading;Writing;Singing","1","4","3","5","5","5","5","3","3","3","2","5","5","3","When you accomplish a project","Food","Any combination of these","Cat","Night","The past","How others see me","Cabin in the woods","Black","By reading an e-Book"
"2021/04/23 10:00:02 AM GMT+8","Female","University student","Playing computer games;Playing board games;Reading;Collecting;Puzzles","1","4","4","4","5","5","4","2","1","3","4","3","4","3","When someone acknowledges you","The latest technology","Any combination of these","Cat","Night","The future","Your future","Traveling the world","Blue","By reading an e-Book"
"2021/04/23 10:43:53 AM GMT+8","Female","University student","Swimming;Dancing;Playing computer games;Playing board games;Reading;Writing;Painting;Collecting;Puzzles;Singing","3","4","4","2","3","4","4","3","2","3","4","3","3","2","By earning a lot of money","Home Improvements","Any combination of these","Horse","Night","The future","Your future","Traveling the world","White","By attending online courses"
"2021/04/23 12:03:52 PM GMT+8","Male","University student","Football;Badminton;Swimming;Jogging;Fishing;Playing computer games;Playing board games;Cooking","4","4","3","4","4","4","4","4","4","4","3","4","4","4","When you accomplish a project","The latest technology","Any combination of these","I'm not a pet person","Night","Neither. I prefer the present","Your family and friends","Traveling the world","Blue","By doing assignments"
"2021/04/23 2:46:37 PM GMT+8","Female","University student","Singing","5","4","3","2","3","5","1","1","4","3","1","5","5","3","When someone acknowledges you","Activities with friends","I write it down in my calendar","Cat","Night","The future","Your future","Traveling the world","White","By doing tutorial/lab questions"
"2021/04/23 2:57:05 PM GMT+8","Male","University student","Jogging;Playing computer games;Singing;Basketball","2","3","1","4","3","2","2","4","4","2","3","5","4","2","When someone acknowledges you","Food","Any combination of these","Dog","Evening","The past","Your future","Traveling the world","Black","By attending online courses"
"2021/04/23 2:59:48 PM GMT+8","Female","University student","Badminton;Swimming;Reading;Photography","3","5","3","4","3","5","4","3","4","4","3","4","4","2","When someone acknowledges you","Activities with friends","I write it down in my calendar","Horse","Night","Neither. I prefer the present","Your future","Traveling the world","Black","By attending lectures"
"2021/04/23 3:07:45 PM GMT+8","Female","University student","Badminton;Swimming;Jogging;Reading;Singing;Vlogging","2","3","4","4","3","3","3","5","4","2","1","3","5","3","When someone acknowledges you","Food","Jotting it down on a scrap of paper","Horse","Morning","The future","Your future","In a small town","Blue","By reading a physical book"
"2021/04/23 3:53:14 PM GMT+8","Female","University student","Badminton;Reading","5","3","1","4","1","3","3","1","3","4","1","5","1","3","When someone acknowledges you","Food","Any combination of these","Cat","Night","The future","Your future","Traveling the world","Purple","By reading a physical book"
"2021/04/23 4:22:40 PM GMT+8","Female","University student","Jogging;Playing computer games;Playing board games;Reading","2","3","2","4","3","4","4","2","3","4","4","2","4","4","When you accomplish a project","Food","Jotting it down on a scrap of paper","Cat","Morning","The past","How others see me","Traveling the world","Black","By doing tutorial/lab questions"
"2021/04/23 6:31:09 PM GMT+8","Female","University student","Cooking;Puzzles;Singing","3","3","3","4","4","4","4","4","3","3","4","3","3","3","By earning a lot of money","Food","Jotting it down on a scrap of paper","Cat","Morning","The future","Money","Traveling the world","Blue","By doing assignments"
"2021/04/23 7:54:24 PM GMT+8","Female","University student","Gardening;Playing computer games;Reading;Painting;Collecting;Puzzles","2","3","4","3","4","4","2","2","5","4","3","4","4","3","When you accomplish a project","Home Improvements","I write it down in my calendar","Dog","Morning","The future","Your future","In a small town","Green","By doing tutorial/lab questions"
"2021/04/24 12:55:37 AM GMT+8","Female","University student","Dancing;Playing board games;Writing;Singing","2","3","1","4","5","3","4","2","1","2","1","5","3","2","When you accomplish a project","Food","Jotting it down on a scrap of paper","I'm not a pet person","Night","The past","Your future","Traveling the world","Blue","By doing tutorial/lab questions"
"2021/04/24 2:03:31 AM GMT+8","Female","University student","Playing computer games;Cooking;Puzzles;Singing","2","3","3","3","4","3","4","2","2","3","2","4","4","2","When someone acknowledges you","Food","I write it down in my calendar","Cat","Night","The future","Your future","In a small town","Purple","By attending lectures"
"2021/04/24 12:25:18 PM GMT+8","Female","University student","Swimming;Playing computer games;Playing board games;Cooking;Reading;Painting;yoga","2","2","4","2","4","4","4","4","4","4","2","5","2","4","When someone acknowledges you","Home Improvements","Any combination of these","Cat","Morning","The past","Your future","Cabin in the woods","Blue","By reading a physical book"
"2021/04/24 8:55:14 PM GMT+8","Female","University student","Cooking;Reading;Singing","4","4","3","4","4","4","4","4","5","4","3","4","4","4","When someone acknowledges you","Food","I write it down in my calendar","I'm not a pet person","Morning","The past","Your family and friends","In a small town","Purple","By doing assignments"
"2021/04/24 11:03:03 PM GMT+8","Male","University student","Football;Dancing;Playing computer games;Reading;Painting;Singing","2","3","5","5","4","5","5","5","3","3","5","5","5","3","When someone acknowledges you","Home Improvements","Any combination of these","Dog","Night","The future","Your future","Traveling the world","Blue","By reading an e-Book"
"2021/04/25 12:37:56 AM GMT+8","Female","University student","Reading;Singing","2","4","4","5","5","5","5","2","3","4","4","2","2","4","When someone acknowledges you","Food","I make a chart or graph","Cat","Night","The past","Money","Traveling the world","Blue","By reading an e-Book"
"2021/04/25 1:03:28 PM GMT+8","Female","University student","Playing computer games;Reading;Writing;Painting;Following idols and internet personalities","2","2","3","3","3","4","3","2","3","4","3","3","3","3","When you accomplish a project","The latest technology","Any combination of these","I'm not a pet person","Night","Neither. I prefer the present","Your future","In a small town","Red","By reading a physical book"
"2021/04/25 5:57:04 PM GMT+8","Male","University student","Swimming;Playing computer games;Cooking","3","3","3","4","3","5","4","4","5","4","2","5","4","4","When someone acknowledges you","Home Improvements","Any combination of these","Fish","Evening","Neither. I prefer the present","Your family and friends","In a small town","Blue","By attending online courses"
"2021/04/26 9:28:25 AM GMT+8","Female","University student","Writing;Singing;Watching movies","1","4","4","3","4","3","3","4","3","3","4","5","4","2","When someone acknowledges you","Home Improvements","Jotting it down on a scrap of paper","Cat","Night","The future","Money","In a small town","Blue","By attending lectures"
"2021/04/26 9:43:01 AM GMT+8","Female","University student","Reading;listening to music","2","2","2","3","4","4","2","3","2","2","2","4","3","2","When you accomplish a project","Food","Any combination of these","Cat","Morning","The past","The state of the world","In a small town","Black","By attending lectures"
"2021/04/26 10:04:12 AM GMT+8","Female","University student","Reading;Crocheting","3","3","3","4","4","4","1","3","3","3","4","4","2","3","When someone acknowledges you","Food","I talk to myself out loud","Cat","Night","The future","Your future","Overseas","Purple","By attending lectures"
"2021/04/26 10:14:26 AM GMT+8","Female","University student","Playing computer games;Reading;Writing;Drawing/sketching","1","1","2","2","3","2","2","2","3","2","4","3","3","1","When you accomplish a project","Food","Any combination of these","I'm not a pet person","Night","The future","The state of the world","Cabin in the woods","Blue","By doing assignments"
"2021/04/26 10:26:24 AM GMT+8","Female","University student","Reading;Take a nap","1","5","5","5","5","5","3","3","1","1","3","5","5","1","When you accomplish a project","Activities with friends","Jotting it down on a scrap of paper","Cat","Morning","The future","Your future","Cabin in the woods","White","By doing assignments"
"2021/04/26 10:36:01 AM GMT+8","Male","University student","Playing computer games;Surfing the web, watching YouTube videos, scrolling through social media","4","2","2","4","4","4","3","4","3","2","5","5","4","3","When someone acknowledges you","Activities with friends","Any combination of these","I'm not a pet person","Night","The past","Your family and friends","Exactly where I live now","Blue","By reading an e-Book"
"2021/04/26 10:47:54 AM GMT+8","Female","University student","Cooking;Singing","4","4","3","3","5","4","5","2","3","2","1","3","3","2","When someone acknowledges you","The latest fashion","Any combination of these","Cat","Afternoon","Neither. I prefer the present","Your family and friends","Cabin in the woods","Red","By attending online courses"
